artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Rihanna;Russian Roulette;227533;2009;80.051;hip hop, pop, R&B;0.486;6;-5.754
Taio Cruz;Dynamite;202613;2010;119.975;hip hop, pop;0.783;4;-3.724
Eminem;River (feat. Ed Sheeran);221013;2017;90.09;hip hop;0.749;8;-5.916
Finger Eleven;Paralyzer;208106;2007;106.031;rock, metal;0.939;11;-3.486
Alessia Cara;Here;199453;2016;120.493;pop, R&B;0.822;0;-3.974
Ed Sheeran;Take Me Back to London (feat. Stormzy);189733;2019;138.058;pop;0.762;8;-5.513
Nelly;Dilemma;289160;2002;168.189;hip hop, pop, R&B;0.552;2;-8.074
Linkin Park;What I've Done;205613;2007;120.119;rock, metal;0.93;5;-5.285
Shakira;Underneath Your Clothes;224066;2001;165.508;pop, latin;0.597;8;-5.328
Jason Derulo;Swalla (feat. Nicki Minaj & Ty Dolla $ign);216408;2017;98.064;hip hop, pop;0.817;1;-3.862
Gabrielle;Out Of Reach;196986;2001;182.862;pop, R&B;0.48;11;-6.567
Shop Boyz;Party Like A Rock Star;253400;2007;144.972;hip hop, pop;0.709;7;-4.633
